procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1453852  7632 1314632   0    0     0    20 7585 9688  3 15 82  0  0  0
 0  0      0 1453852  7632 1314636   0    0     0     0 7584 9585  3 12 85  0  0  0
 0  0      0 1453852  7632 1314636   0    0     0     0 7091 9007  2 11 87  0  0  0
 0  0      0 1453852  7640 1314632   0    0     0    16 7022 9262  2 10 88  0  0  0
 0  0      0 1453852  7640 1314640   0    0     0     0 7116 8962  3  8 89  0  0  0
 1  0      0 1453852  7640 1314640   0    0     0     0 7625 9916  3 10 87  0  0  0
 0  0      0 1453852  7640 1314644   0    0     0     0 7807 10401 3 11 86  0  0  0
 0  0      0 1453852  7640 1314644   0    0     0     0 7586 10368 3  9 88  0  0  0
 1  0      0 1453852  7648 1314648   0    0     0    12 7001 8904  2 11 86  1  0  0
 1  0      0 1453852  7648 1314648   0    0     0     0 7460 9814  2 11 87  0  0  0
 3  0      0 1453852  7648 1314652   0    0     0     0 8754 11499 2 14 84  0  0  0
 4  0      0 1453852  7648 1314656   0    0     0     0 7806 10130 2 12 86  0  0  0
 4  0      0 1453852  7648 1314656   0    0     0     0 7242 9377  3 10 88  0  0  0
 1  0      0 1453852  7648 1314656   0    0     0     0 7550 9757  2 10 88  0  0  0
 3  0      0 1453852  7656 1314652   0    0     0    16 7914 10442 3 10 87  0  0  0
 0  0      0 1453852  7656 1314680   0    0     0    68 7935 10537 3  9 88  0  0  0
 1  0      0 1453852  7656 1314684   0    0     0     0 7863 10693 2 12 86  0  0  0
 0  0      0 1453628  7656 1314688   0    0     0     0 7195 9437  2  9 89  0  0  0
 2  0      0 1453628  7656 1314688   0    0     0     0 7001 9255  3 10 88  0  0  0
 3  0      0 1453628  7664 1314688   0    0     0    20 7006 9224  3  9 88  0  0  0
 0  0      0 1451108  7664 1314692   0    0     0     0 8236 10999 3 10 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 1450856  7664 1314696   0    0     0     0 8081 10567 3 11 85  0  0  0
 1  0      0 1450856  7664 1314700   0    0     0     0 7598 10031 3 11 86  0  0  0
 0  0      0 1450856  7664 1314704   0    0     0     0 7945 10805 3 10 88  0  0  0
 0  0      0 1450856  7672 1314696   0    0     0    16 7135 9183  3  9 89  0  0  0
 0  0      0 1450352  7672 1314708   0    0     0    48 8523 11847 3 11 86  0  0  0
 2  0      0 1450100  7672 1314708   0    0     0     0 7034 9762  3  9 88  0  0  0
 3  0      0 1450100  7672 1314712   0    0     0     0 8556 11188 3 12 85  0  0  0
 1  0      0 1450100  7672 1314716   0    0     0     0 7893 10673 3  9 87  0  0  0
 1  0      0 1450100  7672 1314720   0    0     0     0 7896 10096 2 10 88  0  0  0
 0  0      0 1449344  7680 1314724   0    0     0    60 6937 9288  2  8 90  0  0  0
 0  0      0 1449344  7680 1314724   0    0     0     0 7873 10246 3 10 87  0  0  0
 0  0      0 1449344  7680 1314728   0    0     0     0 7669 10120 3 11 86  0  0  0
 0  0      0 1449344  7680 1314728   0    0     0     0 7568 9921  2 10 88  0  0  0
 4  0      0 1449344  7680 1314732   0    0     0     0 7569 9792  3 10 87  0  0  0
 0  0      0 1447580  7688 1314732   0    0     0    48 8362 11263 3 10 87  0  0  0
 1  0      0 1447580  7688 1314740   0    0     0     0 8528 11476 3 11 86  0  0  0
 0  0      0 1447580  7688 1314744   0    0     0     0 7158 9289  2 10 88  0  0  0
 0  0      0 1447580  7688 1314744   0    0     0     0 7328 9804  2  8 90  0  0  0
 1  0      0 1447580  7688 1314744   0    0     0     0 8532 11411 3 12 85  0  0  0
 0  0      0 1447580  7696 1314752   0    0     0    20 6966 9019  2  8 90  0  0  0
 0  0      0 1447580  7696 1314752   0    0     0     0 8558 11323 2 12 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 1447580  7696 1314756   0    0     0     0 7605 9637  2 11 87  0  0  0
 0  0      0 1447580  7696 1314756   0    0     0     0 7239 9538  3  8 89  0  0  0
 0  0      0 1447332  7696 1314760   0    0     0     0 7361 9196  2 11 87  0  0  0
 0  0      0 1447332  7704 1314752   0    0     0    16 7903 10998 3 11 86  0  0  0
 0  0      0 1447332  7704 1314764   0    0     0     0 7161 9376  3  9 88  0  0  0
 0  0      0 1447332  7704 1314764   0    0     0     0 7739 10724 3 10 87  0  0  0
 0  0      0 1447332  7704 1314772   0    0     0     0 7821 10380 2 11 88  0  0  0
 1  0      0 1447332  7704 1314772   0    0     0     0 7482 9575  3 10 87  0  0  0
 0  0      0 1447332  7704 1314776   0    0     0     0 7689 10593 3  9 88  0  0  0
 0  0      0 1447332  7712 1314780   0    0     0    12 7718 10349 2 11 87  0  0  0
 1  0      0 1447332  7712 1314780   0    0     0     0 7825 10463 2 10 88  0  0  0
 0  0      0 1447332  7712 1314780   0    0     0     0 7984 10535 3  9 88  0  0  0
 0  0      0 1447080  7712 1314780   0    0     0     0 7313 9786  3  8 89  0  0  0
 3  0      0 1447080  7712 1314832   0    0     0     0 8832 12356 4 11 86  0  0  0
 0  0      0 1446856  7720 1314832   0    0     0    16 8005 11202 4 11 85  0  0  0
 0  0      0 1446856  7720 1314836   0    0     0     0 7861 10222 3 10 87  0  0  0
 2  0      0 1446856  7720 1314836   0    0     0     0 7153 9532  2  9 89  0  0  0
 3  0      0 1446856  7720 1314828   0    0     0     0 8465 11383 4 11 85  0  0  0
 0  0      0 1446856  7720 1314832   0    0     0     0 7204 9156  2 10 88  0  0  0
 0  0      0 1446856  7728 1314832   0    0     0    16 7175 9304  2  9 89  0  0  0
 0  0      0 1446856  7728 1314816   0    0     0     0 8254 10723 2 12 86  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1446856  7728 1314820   0    0     0     0 6853 9222  3  8 89  0  0  0
 0  0      0 1446856  7728 1314824   0    0     0     0 7760 10519 2 11 87  0  0  0
 2  0      0 1446856  7728 1314828   0    0     0     0 7596 10499 3 10 88  0  0  0
 0  0      0 1446856  7736 1314828   0    0     0    92 7671 10126 3 10 87  0  0  0
 2  0      0 1446856  7736 1314828   0    0     0     0 8470 10820 2 11 87  0  0  0
 0  0      0 1446856  7736 1314832   0    0     0     0 7716 10794 3  9 87  0  0  0
 3  0      0 1446856  7736 1314832   0    0     0     0 6133 8003  2  8 90  0  0  0
 0  0      0 1446856  7736 1314836   0    0     0     0 8956 12145 2 12 86  0  0  0
 0  0      0 1446856  7744 1314828   0    0     0    28 7381 9968  3 11 86  0  0  0
 2  0      0 1446856  7744 1314840   0    0     0     0 7756 10571 3  8 89  0  0  0
 0  0      0 1446856  7744 1314840   0    0     0     0 8392 10942 2 11 88  0  0  0
 0  0      0 1446856  7744 1314844   0    0     0     0 6852 9226  2 11 87  0  0  0
 0  0      0 1446856  7744 1314828   0    0     0     0 8068 10944 2 10 88  0  0  0
 0  0      0 1446856  7744 1314828   0    0     0     0 8234 11529 3 11 86  0  0  0
 0  0      0 1446856  7752 1314832   0    0     0    12 8151 10533 2 10 88  0  0  0
 0  0      0 1446856  7752 1314836   0    0     0     0 7488 9765  2 10 88  0  0  0
 0  0      0 1446856  7752 1314840   0    0     0     0 8280 11033 3 11 86  0  0  0
 0  0      0 1446856  7752 1314832   0    0     0     0 8135 10933 3 12 84  0  0  0
 0  0      0 1446856  7752 1314836   0    0     0     0 8764 11501 3 13 84  0  0  0
 1  0      0 1446856  7760 1314836   0    0     0    16 6852 9190  2  8 90  0  0  0
 1  0      0 1446856  7760 1314840   0    0     0     0 7511 9867  3 10 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 1446856  7760 1314840   0    0     0     0 6729 8834  2  9 89  0  0  0
 0  0      0 1446856  7760 1314844   0    0     0     0 8875 12522 4 11 85  0  0  0
 0  0      0 1446856  7760 1314844   0    0     0     0 7767 10682 3 10 86  0  0  0
 0  0      0 1446856  7768 1314848   0    0     0    12 7635 9833  3  9 88  0  0  0
 0  0      0 1446856  7768 1314848   0    0     0     0 7610 10438 2 11 88  0  0  0
 0  0      0 1446856  7768 1314852   0    0     0     0 7681 10497 3  9 88  0  0  0
 0  0      0 1446856  7768 1314856   0    0     0     0 7367 9805  2 10 89  0  0  0
 0  0      0 1446856  7768 1314644   0    0     0     0 7205 9483  3  9 89  0  0  0
 1  0      0 1446856  7776 1314636   0    0     0    16 7691 10230 3  9 88  0  0  0
 0  0      0 1446856  7776 1314652   0    0     0     0 7042 9227  2  9 89  0  0  0
 0  0      0 1446856  7776 1314652   0    0     0     0 7803 10391 2 11 87  0  0  0
 1  0      0 1446856  7776 1314676   0    0     0     0 8095 10853 3 11 86  0  0  0
 0  0      0 1446856  7776 1314676   0    0     0     0 7429 10163 3 11 86  0  0  0
 0  0      0 1446632  7784 1314680   0    0     0    88 7152 9364  2 11 87  0  0  0
 0  0      0 1446632  7784 1314680   0    0     0     0 8019 10066 3 10 88  0  0  0
 0  0      0 1446632  7784 1314684   0    0     0     0 7257 9789  2  8 90  0  0  0
 5  0      0 1446636  7784 1314684   0    0     0     0 8164 10500 2 12 86  0  0  0
 0  0      0 1446636  7784 1314688   0    0     0     0 7521 9691  3 11 86  0  0  0
 0  0      0 1446636  7784 1314688   0    0     0     8 8211 10573 3  9 88  0  0  0
 5  0      0 1446636  7792 1314688   0    0     0    16 7946 10346 3 10 87  0  0  0
 1  0      0 1446636  7792 1314692   0    0     0     0 8165 10774 2 12 86  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 1446636  7792 1314696   0    0     0     0 7804 10473 3 11 86  0  0  0
 5  0      0 1446636  7792 1314700   0    0     0     0 8117 10993 3 11 86  0  0  0
 1  0      0 1446636  7792 1314704   0    0     0     0 7498 10312 3 11 87  0  0  0
 1  0      0 1446636  7800 1314696   0    0     0    12 7539 9666  2 10 89  0  0  0
 1  0      0 1446636  7800 1314708   0    0     0     0 8060 10590 3 10 87  0  0  0
 4  0      0 1446636  7800 1314708   0    0     0     0 7729 10302 2 10 88  0  0  0
 0  0      0 1446636  7800 1314712   0    0     0     0 8033 10523 2 10 88  0  0  0
 1  0      0 1446636  7800 1314712   0    0     0     8 6711 8442  3  9 89  0  0  0
 1  0      0 1446636  7800 1314712   0    0     0     0 8392 10950 2 12 86  0  0  0
 0  0      0 1446636  7808 1314716   0    0     0    24 8112 10473 3 10 86  0  0  0
 0  0      0 1446636  7808 1314720   0    0     0     0 7979 11067 3 11 86  0  0  0
 1  0      0 1446636  7808 1314720   0    0     0     0 7774 10152 3 10 86  0  0  0
 1  0      0 1446636  7808 1314724   0    0     0     0 7793 10458 4 10 86  0  0  0
 0  0      0 1446636  7808 1314724   0    0     0     0 7289 9378  2 10 88  0  0  0
 0  0      0 1446636  7816 1314724   0    0     0    12 6993 9379  2  8 90  0  0  0
 0  0      0 1446636  7816 1314728   0    0     0     0 8305 11027 3 12 85  0  0  0
 8  0      0 1446636  7816 1314732   0    0     0     0 8463 10584 3 11 85  0  0  0
 0  0      0 1446636  7816 1314740   0    0     0     0 7559 10030 3  9 88  0  0  0
 0  0      0 1446636  7816 1314740   0    0     0     0 7031 8796  2  8 91  0  0  0
 0  0      0 1446636  7824 1314732   0    0     0    16 8311 11139 3 10 87  0  0  0
 1  0      0 1446388  7824 1314744   0    0     0     0 8628 11306 3 12 85  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1446388  7824 1314744   0    0     0     0 7256 9542  3 10 87  0  0  0
 0  0      0 1446388  7824 1314748   0    0     0     0 7845 10398 3 10 87  0  0  0
 0  0      0 1446388  7824 1314752   0    0     0    72 8594 11004 3 12 86  0  0  0
 0  0      0 1446388  7824 1314756   0    0     0     0 8013 10159 2 10 88  0  0  0
 0  0      0 1446388  7832 1314756   0    0     0    20 8419 10984 3 10 87  0  0  0
 0  0      0 1446388  7832 1314760   0    0     0     0 8499 11036 2 11 87  0  0  0
 2  0      0 1446388  7832 1314760   0    0     0     0 7487 9966  3 12 86  0  0  0
 1  0      0 1446388  7832 1314764   0    0     0    16 7562 9633  3  9 88  0  0  0
 0  0      0 1446388  7832 1314764   0    0     0     0 8067 10701 2 12 86  0  0  0
 0  0      0 1446388  7840 1314768   0    0     0    16 8005 10988 3 10 87  0  0  0
