procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 977372 107128 1931316   0    0     0     0 3129 5327  3  4 93  0  0  0
 0  0      0 977372 107128 1931316   0    0     0    64 3137 5519  3  4 92  0  0  0
 1  0      0 977372 107128 1931320   0    0     0     8 3548 5755  4  3 93  0  0  0
 2  0      0 977372 107128 1931320   0    0     0    28 3432 5578  3  3 94  0  0  0
 0  0      0 977372 107128 1931320   0    0     0     0 3667 6606  5  4 91  0  0  0
 2  0      0 977372 107128 1931320   0    0     0    40 3386 5729  4  4 92  0  0  0
 0  0      0 977372 107128 1931320   0    0     0     0 3478 6520  3  3 94  0  0  0
 0  0      0 977372 107140 1931308   0    0     0    40 3529 5234  3  3 93  1  0  0
 0  0      0 977372 107140 1931324   0    0     0    20 3536 6633  5  4 91  0  0  0
 1  0      0 977372 107144 1931324   0    0     0    80 3784 6899  6  5 90  0  0  0
 0  0      0 977372 107144 1931332   0    0     0    24 3483 6161  5  3 91  0  0  0
 2  0      0 977372 107144 1931332   0    0     0    16 3287 5494  4  3 92  0  0  0
 0  0      0 977372 107144 1931332   0    0     0    28 3506 6566  4  3 93  0  0  0
 0  0      0 977372 107144 1931332   0    0     0     0 3334 4918  3  4 93  0  0  0
 0  0      0 977372 107144 1931332   0    0     0    28 3880 6443  5  4 91  0  0  0
 2  0      0 977372 107144 1931332   0    0     0    52 3372 5260  4  3 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 977372 107148 1931336   0    0     0    64 3580 5769  3  4 93  0  0  0
 0  0      0 977372 107148 1931336   0    0     0     0 3314 5075  3  2 95  0  0  0
