procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 1077044 83008 1910920   0    0     0     0 3270 4708  2  2 96  0  0  0
 1  0      0 1077044 83008 1910920   0    0     0    28 4119 6748  5  4 91  0  0  0
 0  0      0 1075532 83016 1910912   0    0     0    72 3666 5832  3  2 95  0  0  0
 0  0      0 1075532 83028 1910912   0    0     0   128 3877 6445  4  2 94  0  0  0
 0  0      0 1075532 83028 1910928   0    0     0     0 3434 5347  2  2 96  0  0  0
 0  0      0 1075532 83032 1910924   0    0     0    56 3539 5350  4  2 94  0  0  0
 2  0      0 1075532 83032 1910932   0    0     0     0 3265 5241  3  2 95  0  0  0
 0  0      0 1075532 83032 1910932   0    0     0    52 4160 7190  4  2 94  0  0  0
 0  0      0 1075532 83032 1910932   0    0     0    32 3641 5934  2  3 95  0  0  0
 0  0      0 1075532 83032 1910932   0    0     0    24 3595 5222  4  2 95  0  0  0
 0  0      0 1075532 83032 1910932   0    0     0     0 3268 4443  2  2 96  0  0  0
 0  0      0 1075532 83048 1910916   0    0     0    64 3880 6206  3  2 95  0  0  0
 0  0      0 1075532 83048 1910936   0    0     0    32 3298 4637  3  2 95  0  0  0
 0  0      0 1075532 83048 1910936   0    0     0    28 3419 4847  2  2 96  0  0  0
 0  0      0 1075532 83048 1910936   0    0     0     4 3118 4337  2  1 97  0  0  0
 0  0      0 1075532 83052 1910932   0    0     0    76 3672 5836  3  3 94  0  0  0
 0  0      0 1075532 83052 1910940   0    0     0     4 3208 4581  2  2 97  0  0  0
 0  0      0 1075532 83052 1910940   0    0     0    52 3786 5555  4  2 94  0  0  0
 0  0      0 1075532 83060 1910948   0    0     0   128 4024 6636  5  2 92  1  0  0
 0  0      0 1075532 83060 1910956   0    0     0    28 3465 4894  3  3 94  0  0  0
 0  0      0 1075532 83060 1910956   0    0     0    16 3268 5044  2  1 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1075532 83060 1910956   0    0     0    28 3996 6248  5  5 90  0  0  0
 2  0      0 1075532 83060 1910956   0    0     0    32 3530 5080  2  2 96  0  0  0
 0  0      0 1075532 83060 1910956   0    0     0    96 3584 5808  3  2 95  0  0  0
 1  0      0 1075532 83060 1910964   0    0     0     0 2822 4051  2  2 97  0  0  0
