procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 1007164 97764 1924888   0    0     0   152 4235 7426 10  6 83  1  0  0
 0  0      0 1007164 97764 1924888   0    0     0    56 3354 5515  4  3 93  0  0  0
 3  0      0 1007164 97764 1924892   0    0     0     8 3579 5926  5  5 90  0  0  0
 2  0      0 1007164 97764 1924908   0    0     0    72 3499 5303  4  4 92  0  0  0
 0  0      0 1007164 97764 1924908   0    0     0     0 3297 4596  4  3 92  0  0  0
 0  0      0 1007164 97764 1924908   0    0     0    40 3360 5667  3  3 95  0  0  0
 0  0      0 1007164 97764 1924912   0    0     0    20 3343 5819  4  3 94  0  0  0
 3  0      0 1007164 97764 1924912   0    0     0     0 3317 5195  3  2 95  0  0  0
 0  0      0 1007164 97764 1924912   0    0     0    44 3429 5905  4  3 93  0  0  0
 1  0      0 1007164 97764 1924912   0    0     0    28 3545 5284  4  4 92  0  0  0
 0  0      0 1007164 97764 1924916   0    0     0    76 3867 6926  5  5 90  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 1007164 97764 1924916   0    0     0    20 3370 5629  3  3 94  0  0  0
 1  0      0 1007164 97764 1924916   0    0     0    28 3900 6034  7  4 89  0  0  0
 1  0      0 1007164 97764 1924916   0    0     0    32 3577 5359  3  3 93  0  0  0
 3  0      0 1007164 97764 1924916   0    0     0    28 3782 6002  4  4 92  0  0  0
 1  0      0 1007164 97764 1924924   0    0     0   132 3845 6365  8  4 87  0  0  0
 0  0      0 1007164 97768 1924928   0    0     0    56 3544 6298  5  3 92  0  0  0
 0  0      0 1007164 97768 1924928   0    0     0     0 3149 4723  3  3 95  0  0  0
 0  0      0 1007164 97768 1924928   0    0     0    44 4039 7452  5  4 91  1  0  0
 0  0      0 1007164 97768 1924928   0    0     0    24 3289 5702  3  3 95  0  0  0
 0  0      0 1007164 97772 1924932   0    0     0    88 3694 6163  5  4 90  0  0  0
 0  0      0 1007164 97772 1924936   0    0     0     0 3130 5175  3  3 93  0  0  0
 1  0      0 1007164 97772 1924936   0    0     0    28 4026 6757  5  5 90  0  0  0
 1  0      0 1007164 97772 1924936   0    0     0    32 3370 4565  3  4 93  0  0  0
 2  0      0 1007164 97772 1924936   0    0     0    28 3698 5790  4  3 93  0  0  0
 2  0      0 1007164 97772 1924936   0    0     0     0 2947 4141  2  2 96  0  0  0
 4  0      0 1007164 97780 1924940   0    0     0    60 3646 6052  4  3 93  0  0  0
 1  0      0 1007164 97780 1924940   0    0     0     0 3225 5036  3  2 95  0  0  0
 1  0      0 1007164 97780 1924940   0    0     0    44 3651 6219  4  4 92  0  0  0
 0  0      0 1007164 97780 1924940   0    0     0    28 3145 4696  3  3 94  0  0  0
 1  0      0 1007164 97792 1924956   0    0     0   180 4274 8155  9  6 85  1  0  0
 0  0      0 1007164 97792 1924956   0    0     0    12 3228 5132  3  4 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1007164 97792 1924956   0    0     0    28 3854 7158  9  5 86  0  0  0
 0  0      0 1005148 97792 1924956   0    0     0    32 3273 5562  3  3 93  0  0  0
 0  0      0 1005148 97792 1924956   0    0     0    44 3439 5406  4  3 93  0  0  0
 1  0      0 1005148 97800 1924948   0    0     0    36 2979 4685  4  2 93  1  0  0
 1  0      0 1005148 97808 1924960   0    0     0    52 3463 5794  3  3 94  0  0  0
 3  0      0 1005148 97808 1924960   0    0     0     0 2999 4856  2  2 96  0  0  0
 0  0      0 1003384 97808 1924960   0    0     0    40 3563 5953  4  4 92  0  0  0
 0  0      0 1003132 97808 1924960   0    0     0    28 3650 5593  3  2 95  0  0  0
 0  0      0 1003132 97812 1924964   0    0     0    76 4090 7156  5  4 91  0  0  0
 0  0      0 1003132 97812 1924964   0    0     0    28 3382 5137  4  4 92  0  0  0
 1  0      0 1003132 97812 1924968   0    0     0    24 4241 7789  7  6 87  0  0  0
 0  0      0 1002628 97812 1924968   0    0     0    32 3618 6620  5  4 91  0  0  0
 0  0      0 1002628 97812 1924972   0    0     0    68 3268 5479  4  3 93  0  0  0
 0  0      0 1002628 97824 1924980   0    0     0   124 4012 7042  5  5 90  0  0  0
 2  0      0 1002628 97824 1924980   0    0     0    28 3715 6762  5  5 90  0  0  0
 1  0      0 1002628 97824 1924980   0    0     0     0 3004 5061  2  3 95  0  0  0
 0  0      0 1001116 97824 1924980   0    0     0    44 3691 6691  4  3 92  0  0  0
 1  0      0 1001116 97824 1924980   0    0     0     8 3204 5134  3  2 95  0  0  0
 0  0      0 1001116 97824 1924984   0    0     0    56 3759 6426  5  3 91  0  0  0
 2  0      0 1001116 97824 1924984   0    0     0    24 3410 6155  3  3 94  0  0  0
 1  0      0 1001116 97824 1924984   0    0     0    28 3805 6174  5  5 90  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 999604  97824 1924984   0    0     0    32 3681 5455  3  3 95  0  0  0
 3  0      0 999604  97832 1924988   0    0     0    52 3621 5726  3  3 93  1  0  0
 2  0      0 999604  97832 1924988   0    0     0     4 3055 5311  4  3 94  0  0  0
