procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 1038464 89280 1915188   0    0     0    40 3433 5625  3  2 94  1  0  0
 0  0      0 1038212 89280 1915188   0    0     0    28 3828 6227  5  4 91  0  0  0
 0  0      0 1037960 89288 1915192   0    0     0   128 3976 6178  5  3 93  0  0  0
 1  0      0 1037960 89288 1915196   0    0     0    64 3343 4636  3  3 94  0  0  0
 0  0      0 1037960 89288 1915196   0    0     0     0 3431 4976  2  2 96  0  0  0
 1  0      0 1037960 89288 1915196   0    0     0    48 3588 5867  3  2 95  0  0  0
 1  0      0 1037720 89288 1915216   0    0     0     0 3668 5402  3  3 94  0  0  0
 0  0      0 1037720 89288 1915216   0    0     0    28 3440 5032  3  1 96  0  0  0
 3  0      0 1037468 89288 1915232   0    0     0    36 3581 5107  3  3 94  0  0  0
 1  0      0 1037468 89292 1915228   0    0     0    72 5134 9164  6  4 90  0  0  0
 1  0      0 1031924 89292 1915236   0    0     0     0 3336 4728  3  2 96  0  0  0
 0  0      0 1031924 89292 1915236   0    0     0   188 4509 8171  5  5 90  0  0  0
 0  0      0 1031924 89292 1915236   0    0     0     0 3457 4991  2  3 96  0  0  0
 0  0      0 1031924 89296 1915232   0    0     0    88 3674 5773  4  2 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1031924 89296 1915240   0    0     0    24 3116 4851  2  1 97  0  0  0
 0  0      0 1031924 89296 1915240   0    0     0    28 3481 5759  3  2 95  0  0  0
 0  0      0 1031924 89296 1915240   0    0     0     0 3342 5141  4  2 94  0  0  0
 0  0      0 1031924 89304 1915232   0    0     0   156 3986 6342  4  3 94  0  0  0
 0  0      0 1030160 89304 1915256   0    0     0    16 3680 5682  5  3 92  0  0  0
 0  0      0 1030160 89308 1915252   0    0     0    84 3799 6039  4  1 95  0  0  0
 0  0      0 1030160 89308 1915264   0    0     0    16 3456 6067  2  2 96  0  0  0
 0  0      0 1029908 89308 1915264   0    0     0    52 3673 6533  4  3 93  0  0  0
 0  0      0 1029908 89308 1915280   0    0     0     0 3290 5284  3  2 96  0  0  0
 0  0      0 1027136 89316 1915272   0    0     0    88 3474 5565  3  2 95  0  0  0
 0  0      0 1027136 89316 1915284   0    0     0     0 3152 5107  2  2 96  0  0  0
 0  0      0 1027136 89316 1915284   0    0     0    24 3249 4843  2  1 97  0  0  0
 0  0      0 1027136 89316 1915284   0    0     0     4 3430 5141  2  2 96  0  0  0
 0  0      0 1027136 89316 1915284   0    0     0    28 3639 5861  3  2 96  0  0  0
 0  0      0 1026128 89320 1915284   0    0     0    56 3490 5074  3  3 94  0  0  0
 0  0      0 1026128 89328 1915288   0    0     0    72 3922 6356  7  2 90  1  0  0
